FID,SAMPLEID,SOILTYPE,DEPTH_m,X_EUREF,Y_EUREF,MULTIBLE_TILL,PROFILE,PROFILE_END,SUBTILL_SORTED
0,15238,moreeni,1,468210.3086,7471467.111,No,Profile,No,No
1,15238,moreeni,2,468210.3086,7471467.111,No,Profile,No,No
2,15238,moreeni,2.5,468210.3086,7471467.111,No,Profile,No,No
3,15239,moreeni,1,467260.6848,7473246.404,No,Profile,No,No
4,15239,moreeni,2,467260.6848,7473246.404,No,Profile,No,No
5,15239,moreeni,2.4,467260.6848,7473246.404,No,Profile,No,No
6,15240,moreeni,1,465741.2906,7473986.112,No,Profile,No,No
7,15240,moreeni,2,465741.2906,7473986.112,No,Profile,No,No
8,15240,moreeni,2.5,465741.2906,7473986.112,No,Profile,No,No
9,15244,moreeni,1,464191.9142,7475135.656,No,Profile,No,No
10,15244,moreeni,2,464191.9142,7475135.656,No,Profile,No,No
11,15244,moreeni,2.9,464191.9142,7475135.656,No,Profile,No,No
12,15534,moreeni,0.7,466750.8869,7474136.05,No,Profile,No,No
13,15534,moreeni,1.3,466750.8869,7474136.05,No,Profile,No,No
14,15534,rapakallio,1.8,466750.8869,7474136.05,No,Profile,No,No
15,15534,rapakallio,1.8,466750.8869,7474136.05,No,Profile,No,No
16,15321,moreeni,1,468390.2389,7477974.514,No,Profile,No,No
17,15321,moreeni,2,468390.2389,7477974.514,No,Profile,No,No
18,15321,moreeni,3,468390.2389,7477974.514,No,Profile,No,No
19,15321,moreeni,3.3,468390.2389,7477974.514,No,Profile,No,No
20,15322,moreeni,1,467610.5477,7477004.903,No,Profile,No,No
21,15322,moreeni,1.4,467610.5477,7477004.903,No,Profile,No,No
22,15323,moreeni,1,466540.9889,7478984.114,No,Profile,No,No
23,15323,moreeni,2,466540.9889,7478984.114,No,Profile,No,No
24,15323,moreeni,2.6,466540.9889,7478984.114,No,Profile,No,No
25,15324,moreeni,1,465691.3422,7481103.269,No,Profile,No,No
26,15324,moreeni,2,465691.3422,7481103.269,No,Profile,No,No
27,15324,moreeni,2.9,465691.3422,7481103.269,No,Profile,No,No
28,15325,moreeni,1,464371.8738,7481153.252,No,Profile,No,No
29,15325,moreeni,2,464371.8738,7481153.252,No,Profile,No,No
30,15325,moreeni,3,464371.8738,7481153.252,No,Profile,No,No
31,15325,moreeni,3.1,464371.8738,7481153.252,No,Profile,No,No
32,15326,moreeni,1,467440.6488,7483162.444,No,Profile,No,No
33,15326,moreeni,2,467440.6488,7483162.444,No,Profile,No,No
34,15326,moreeni,2.3,467440.6488,7483162.444,No,Profile,No,No
35,15327,moreeni,1,465441.4535,7483102.471,No,Profile,No,No
36,15327,moreeni,2,465441.4535,7483102.471,No,Profile,No,No
37,15327,moreeni,3,465441.4535,7483102.471,No,Profile,No,No
38,15327,moreeni,3.9,465441.4535,7483102.471,No,Profile,No,No
39,15328,moreeni,1,464092.0026,7484192.039,No,Profile,No,No
40,15328,moreeni,1.6,464092.0026,7484192.039,No,Profile,No,No
41,15504,moreeni,1.5,465811.2919,7480713.425,No,Profile,No,No
42,15504,moreeni,3,465811.2919,7480713.425,No,Profile,No,No
43,15504,hiekka,4.5,465811.2919,7480713.425,No,Profile,No,No
44,15531,moreeni,0.6,465401.47,7483172.443,No,Profile,No,No
45,15531,moreeni,1.3,465401.47,7483172.443,No,Profile,No,No
46,15531,moreeni,1.9,465401.47,7483172.443,No,Profile,No,No
47,15531,moreeni,2.5,465401.47,7483172.443,No,Profile,No,No
48,15531,moreeni,4,465401.47,7483172.443,No,Profile,No,No
49,15274,moreeni,1,478336.2157,7470547.46,No,Profile,No,No
50,15274,moreeni,2,478336.2157,7470547.46,No,Profile,No,No
51,15274,moreeni,2.5,478336.2157,7470547.46,No,Profile,No,No
52,15275,moreeni,1,476906.7955,7471966.897,No,Profile,No,No
53,15275,moreeni,1.8,476906.7955,7471966.897,No,Profile,No,No
54,15276,moreeni,1,476456.9813,7473936.111,No,Profile,No,No
55,15276,hiekka,2,476456.9813,7473936.111,No,Profile,No,No
56,15276,moreeni,4,476456.9813,7473936.111,No,Profile,No,No
57,15276,moreeni,4.4,476456.9813,7473936.111,No,Profile,No,No
58,15291,moreeni,1,471229.0988,7473526.284,No,Profile,No,No
59,15291,moreeni,1.5,471229.0988,7473526.284,No,Profile,No,No
60,15292,moreeni,1,470919.2181,7476055.276,No,Profile,No,No
61,15292,moreeni,2,470919.2181,7476055.276,No,Profile,No,No
62,15292,moreeni,2.9,470919.2181,7476055.276,No,Profile,No,No
63,15293,hiekka,1,471678.9137,7476585.063,No,Profile,No,No
64,15293,moreeni,1.6,471678.9137,7476585.063,No,Profile,No,No
65,15529,moreeni,1.1,471818.8598,7475455.513,No,Profile,No,No
66,15529,moreeni,2.1,471818.8598,7475455.513,No,Profile,No,No
67,15529,moreeni,3.4,471818.8598,7475455.513,No,Profile,No,No
68,15529,moreeni,4.1,471818.8598,7475455.513,No,Profile,No,No
69,15548,moreeni,0.6,476536.9529,7475675.416,No,Profile,No,No
70,15548,moreeni,1.1,476536.9529,7475675.416,No,Profile,No,No
71,15548,moreeni,1.6,476536.9529,7475675.416,No,Profile,No,No
72,15548,moreeni,2.1,476536.9529,7475675.416,No,Profile,No,No
73,15548,moreeni,2.6,476536.9529,7475675.416,No,Profile,No,No
74,15548,hiekka,3.1,476536.9529,7475675.416,No,Profile,No,No
75,15548,moreeni,3.6,476536.9529,7475675.416,No,Profile,No,No
76,15551,moreeni,0.6,476676.8865,7471177.213,No,Profile,No,No
77,15551,moreeni,1.1,476676.8865,7471177.213,No,Profile,No,No
78,15551,moreeni,1.6,476676.8865,7471177.213,No,Profile,No,No
79,15551,moreeni,2.1,476676.8865,7471177.213,No,Profile,No,No
80,15551,moreeni,2.6,476676.8865,7471177.213,No,Profile,No,No
81,15551,moreeni,3.1,476676.8865,7471177.213,No,Profile,No,No
82,15551,moreeni,3.6,476676.8865,7471177.213,No,Profile,No,No
83,15551,moreeni,4.1,476676.8865,7471177.213,No,Profile,No,No
84,22237,moreeni,1.2,478616.1043,7477314.757,No,Profile,No,No
85,22237,moreeni,1.2,478616.1043,7477314.757,No,Profile,No,No
86,22238,moreeni,0.6,478686.076,7477244.785,No,Profile,No,No
87,22238,moreeni,0.6,478686.076,7477244.785,No,Profile,No,No
88,22238,moreeni,1.1,478686.076,7477244.785,No,Profile,No,No
89,22238,moreeni,1.1,478686.076,7477244.785,No,Profile,No,No
90,22239,moreeni,0.6,478766.0437,7477154.82,No,Profile,No,No
91,22239,moreeni,0.6,478766.0437,7477154.82,No,Profile,No,No
92,22239,moreeni,1.1,478766.0437,7477154.82,No,Profile,No,No
93,22239,moreeni,1.1,478766.0437,7477154.82,No,Profile,No,No
94,22240,hiekka,0.6,478846.0113,7477074.852,No,Profile,No,No
95,22240,hiekka,0.6,478846.0113,7477074.852,No,Profile,No,No
96,22240,hiekka,1.2,478846.0113,7477074.852,No,Profile,No,No
97,22240,hiekka,1.2,478846.0113,7477074.852,No,Profile,No,No
98,22241,hiekka,0.6,478905.9871,7477004.88,No,Profile,No,No
99,22241,hiekka,0.6,478905.9871,7477004.88,No,Profile,No,No
100,22241,hiekka,1.3,478905.9871,7477004.88,No,Profile,No,No
101,22241,hiekka,1.3,478905.9871,7477004.88,No,Profile,No,No
102,22242,hiekka,0.6,478965.9629,7476934.908,No,Profile,No,No
103,22242,hiekka,0.6,478965.9629,7476934.908,No,Profile,No,No
104,22242,hiekka,0.9,478965.9629,7476934.908,No,Profile,No,No
105,22242,hiekka,0.9,478965.9629,7476934.908,No,Profile,No,No
106,22243,moreeni,0.6,478226.2668,7477764.578,No,Profile,No,No
107,22243,moreeni,0.6,478226.2668,7477764.578,No,Profile,No,No
108,22243,moreeni,1.1,478226.2668,7477764.578,No,Profile,No,No
109,22243,moreeni,1.1,478226.2668,7477764.578,No,Profile,No,No
110,22244,moreeni,0.6,478156.2962,7477844.546,No,Profile,No,No
