FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
0,15238,0,1,468210.3086,7471467.111
1,15238,0,2,468210.3086,7471467.111
2,15238,0,2.5,468210.3086,7471467.111
3,15239,0,1,467260.6848,7473246.404
4,15239,0,2,467260.6848,7473246.404
5,15239,0,2.4,467260.6848,7473246.404
6,15240,0,1,465741.2906,7473986.112
7,15240,0,2,465741.2906,7473986.112
8,15240,0,2.5,465741.2906,7473986.112
9,15244,0,1,464191.9142,7475135.656
10,15244,0,2,464191.9142,7475135.656
11,15244,0,2.9,464191.9142,7475135.656
12,15534,0,0.7,466750.8869,7474136.05
13,15534,0,1.3,466750.8869,7474136.05
14,15534,2,1.8,466750.8869,7474136.05
15,15534,2,1.8,466750.8869,7474136.05
16,15321,0,1,468390.2389,7477974.514
17,15321,0,2,468390.2389,7477974.514
18,15321,0,3,468390.2389,7477974.514
19,15321,0,3.3,468390.2389,7477974.514
20,15322,0,1,467610.5477,7477004.903
21,15322,0,1.4,467610.5477,7477004.903
22,15323,0,1,466540.9889,7478984.114
23,15323,0,2,466540.9889,7478984.114
24,15323,0,2.6,466540.9889,7478984.114
25,15324,0,1,465691.3422,7481103.269
26,15324,0,2,465691.3422,7481103.269
27,15324,0,2.9,465691.3422,7481103.269
28,15325,0,1,464371.8738,7481153.252
29,15325,0,2,464371.8738,7481153.252
30,15325,0,3,464371.8738,7481153.252
31,15325,0,3.1,464371.8738,7481153.252
32,15326,0,1,467440.6488,7483162.444
33,15326,0,2,467440.6488,7483162.444
34,15326,0,2.3,467440.6488,7483162.444
35,15327,0,1,465441.4535,7483102.471
36,15327,0,2,465441.4535,7483102.471
37,15327,0,3,465441.4535,7483102.471
38,15327,0,3.9,465441.4535,7483102.471
39,15328,0,1,464092.0026,7484192.039
40,15328,0,1.6,464092.0026,7484192.039
41,15504,0,1.5,465811.2919,7480713.425
42,15504,0,3,465811.2919,7480713.425
43,15504,1,4.5,465811.2919,7480713.425
44,15531,0,0.6,465401.47,7483172.443
45,15531,0,1.3,465401.47,7483172.443
46,15531,0,1.9,465401.47,7483172.443
47,15531,0,2.5,465401.47,7483172.443
48,15531,0,4,465401.47,7483172.443
49,15274,0,1,478336.2157,7470547.46
50,15274,0,2,478336.2157,7470547.46
51,15274,0,2.5,478336.2157,7470547.46
52,15275,0,1,476906.7955,7471966.897
53,15275,0,1.8,476906.7955,7471966.897
54,15276,0,1,476456.9813,7473936.111
55,15276,1,2,476456.9813,7473936.111
56,15276,0,4,476456.9813,7473936.111
57,15276,0,4.4,476456.9813,7473936.111
58,15291,0,1,471229.0988,7473526.284
59,15291,0,1.5,471229.0988,7473526.284
60,15292,0,1,470919.2181,7476055.276
61,15292,0,2,470919.2181,7476055.276
62,15292,0,2.9,470919.2181,7476055.276
63,15293,1,1,471678.9137,7476585.063
64,15293,0,1.6,471678.9137,7476585.063
65,15529,0,1.1,471818.8598,7475455.513
66,15529,0,2.1,471818.8598,7475455.513
67,15529,0,3.4,471818.8598,7475455.513
68,15529,0,4.1,471818.8598,7475455.513
69,15548,0,0.6,476536.9529,7475675.416
70,15548,0,1.1,476536.9529,7475675.416
71,15548,0,1.6,476536.9529,7475675.416
72,15548,0,2.1,476536.9529,7475675.416
73,15548,0,2.6,476536.9529,7475675.416
74,15548,1,3.1,476536.9529,7475675.416
75,15548,0,3.6,476536.9529,7475675.416
76,15551,0,0.6,476676.8865,7471177.213
77,15551,0,1.1,476676.8865,7471177.213
78,15551,0,1.6,476676.8865,7471177.213
79,15551,0,2.1,476676.8865,7471177.213
80,15551,0,2.6,476676.8865,7471177.213
81,15551,0,3.1,476676.8865,7471177.213
82,15551,0,3.6,476676.8865,7471177.213
83,15551,0,4.1,476676.8865,7471177.213
84,22237,0,1.2,478616.1043,7477314.757
85,22237,0,1.2,478616.1043,7477314.757
86,22238,0,0.6,478686.076,7477244.785
87,22238,0,0.6,478686.076,7477244.785
88,22238,0,1.1,478686.076,7477244.785
89,22238,0,1.1,478686.076,7477244.785
90,22239,0,0.6,478766.0437,7477154.82
91,22239,0,0.6,478766.0437,7477154.82
92,22239,0,1.1,478766.0437,7477154.82
93,22239,0,1.1,478766.0437,7477154.82
94,22240,1,0.6,478846.0113,7477074.852
95,22240,1,0.6,478846.0113,7477074.852
96,22240,1,1.2,478846.0113,7477074.852
97,22240,1,1.2,478846.0113,7477074.852
98,22241,1,0.6,478905.9871,7477004.88
99,22241,1,0.6,478905.9871,7477004.88
100,22241,1,1.3,478905.9871,7477004.88
101,22241,1,1.3,478905.9871,7477004.88
102,22242,1,0.6,478965.9629,7476934.908
103,22242,1,0.6,478965.9629,7476934.908
104,22242,1,0.9,478965.9629,7476934.908
105,22242,1,0.9,478965.9629,7476934.908
106,22243,0,0.6,478226.2668,7477764.578
107,22243,0,0.6,478226.2668,7477764.578
108,22243,0,1.1,478226.2668,7477764.578
109,22243,0,1.1,478226.2668,7477764.578
110,22244,0,0.6,478156.2962,7477844.546
111,22244,0,0.6,478156.2962,7477844.546
112,22245,1,0.6,478076.3297,7477934.51
113,22245,1,0.6,478076.3297,7477934.51
114,22245,0,1.3,478076.3297,7477934.51
115,22245,0,1.3,478076.3297,7477934.51
116,22246,0,0.6,478016.355,7478004.483
117,22246,0,0.6,478016.355,7478004.483
118,22246,0,1,478016.355,7478004.483
119,22246,0,1,478016.355,7478004.483
120,22247,1,0.6,477956.3803,7478084.451
121,22247,1,0.6,477956.3803,7478084.451
122,22247,1,1,477956.3803,7478084.451
123,22247,1,1,477956.3803,7478084.451
124,22248,1,0.7,477876.4138,7478164.419
125,22248,1,0.7,477876.4138,7478164.419
126,22248,0,1.4,477876.4138,7478164.419
127,22248,0,1.4,477876.4138,7478164.419
128,22249,0,0.7,477816.4388,7478224.395
129,22249,0,0.7,477816.4388,7478224.395
130,22249,0,1.1,477816.4388,7478224.395
131,22249,0,1.1,477816.4388,7478224.395
132,22250,0,0.7,477736.4724,7478314.359
133,22250,0,0.7,477736.4724,7478314.359
134,22250,0,1.1,477736.4724,7478314.359
135,22250,0,1.1,477736.4724,7478314.359
136,22251,0,0.6,477676.4978,7478394.328
137,22251,0,0.6,477676.4978,7478394.328
138,22251,0,1.4,477676.4978,7478394.328
139,22251,0,1.4,477676.4978,7478394.328
140,22252,0,0.6,477606.527,7478464.3
141,22252,0,0.6,477606.527,7478464.3
142,22252,0,1.4,477606.527,7478464.3
143,22252,0,1.4,477606.527,7478464.3
144,22253,0,0.6,477536.5564,7478544.268
145,22253,0,0.6,477536.5564,7478544.268
146,22253,0,1.4,477536.5564,7478544.268
147,22253,0,1.4,477536.5564,7478544.268
148,22254,0,0.6,477476.5817,7478614.24
149,22254,0,0.6,477476.5817,7478614.24
150,22254,0,1.3,477476.5817,7478614.24
151,22254,0,1.3,477476.5817,7478614.24
152,22255,0,0.6,477406.6111,7478694.208
153,22255,0,0.6,477406.6111,7478694.208
154,22255,0,1.2,477406.6111,7478694.208
155,22255,0,1.2,477406.6111,7478694.208
156,22256,0,0.6,477336.6403,7478764.181
157,22256,0,0.6,477336.6403,7478764.181
158,22256,0,1.4,477336.6403,7478764.181
159,22256,0,1.4,477336.6403,7478764.181
160,22257,1,0.6,477276.6657,7478844.149
161,22257,1,0.6,477276.6657,7478844.149
162,22257,1,1.4,477276.6657,7478844.149
163,22257,1,1.4,477276.6657,7478844.149
164,22258,0,0.6,477206.6948,7478914.121
165,22258,0,0.6,477206.6948,7478914.121
166,22258,0,1.5,477206.6948,7478914.121
167,22258,0,1.5,477206.6948,7478914.121
168,22259,0,0.6,477136.7234,7478994.089
169,22259,0,0.6,477136.7234,7478994.089
170,22259,0,1.4,477136.7234,7478994.089
171,22259,0,1.4,477136.7234,7478994.089
172,22260,1,0.6,477076.7479,7479064.062
173,22260,1,0.6,477076.7479,7479064.062
174,22260,1,1.5,477076.7479,7479064.062
175,22260,1,1.5,477076.7479,7479064.062
176,22261,1,0.6,477026.7684,7479124.038
177,22261,1,0.6,477026.7684,7479124.038
178,22261,1,1.5,477026.7684,7479124.038
179,22261,1,1.5,477026.7684,7479124.038
180,22262,0,0.6,476956.7969,7479194.01
181,22262,0,0.6,476956.7969,7479194.01
182,22262,0,1,476956.7969,7479194.01
183,22262,0,1,476956.7969,7479194.01
184,22263,1,0.6,476896.8215,7479273.978
185,22263,1,0.6,476896.8215,7479273.978
186,22263,1,1,476896.8215,7479273.978
187,22263,1,1,476896.8215,7479273.978
188,22264,1,0.6,476816.8541,7479353.947
189,22264,1,0.6,476816.8541,7479353.947
190,22264,1,1.1,476816.8541,7479353.947
191,22264,1,1.1,476816.8541,7479353.947
192,22265,1,0.6,476756.8786,7479413.923
193,22265,1,0.6,476756.8786,7479413.923
194,22265,1,1.2,476756.8786,7479413.923
195,22265,1,1.2,476756.8786,7479413.923
196,22266,1,0.6,476686.9072,7479493.891
197,22266,1,0.6,476686.9072,7479493.891
198,22266,1,1.2,476686.9072,7479493.891
199,22266,1,1.2,476686.9072,7479493.891
200,22267,1,0.6,476616.9357,7479563.864
201,22267,1,0.6,476616.9357,7479563.864
202,22267,1,1.3,476616.9357,7479563.864
203,22267,1,1.3,476616.9357,7479563.864
204,22268,1,0.6,476566.9562,7479633.836
205,22268,1,0.6,476566.9562,7479633.836
206,22268,1,1.4,476566.9562,7479633.836
207,22268,1,1.4,476566.9562,7479633.836
208,22269,1,1.5,476516.9766,7479693.812
209,22269,1,1.5,476516.9766,7479693.812
210,15259,0,1,479665.7237,7482292.769
211,15259,0,2,479665.7237,7482292.769
212,15259,0,3,479665.7237,7482292.769
213,15259,2,4,479665.7237,7482292.769
214,15259,2,4,479665.7237,7482292.769
215,15259,2,5,479665.7237,7482292.769
216,15259,2,5,479665.7237,7482292.769
217,15260,0,1,478716.1162,7484421.932
218,15261,0,1,478136.3561,7485631.451
219,15261,1,2,478136.3561,7485631.451
220,15261,1,3,478136.3561,7485631.451
221,15261,2,3.1,478136.3561,7485631.451
222,15261,2,3.1,478136.3561,7485631.451
223,15261,2,3.4,478136.3561,7485631.451
224,15261,2,3.4,478136.3561,7485631.451
225,15262,0,1,477556.5957,7486780.993
226,15262,2,2,477556.5957,7486780.993
227,15262,2,2,477556.5957,7486780.993
228,15262,2,2.5,477556.5957,7486780.993
229,15262,2,2.5,477556.5957,7486780.993
230,15263,1,1,478986.0141,7485641.446
231,15263,0,2,478986.0141,7485641.446
232,15263,0,3,478986.0141,7485641.446
233,15263,0,4,478986.0141,7485641.446
234,15277,0,1,474077.9493,7477664.628
235,15277,0,2,474077.9493,7477664.628
236,15277,0,3,474077.9493,7477664.628
237,15278,0,1,476017.1637,7477124.839
238,15278,0,2,476017.1637,7477124.839
239,15278,0,3,476017.1637,7477124.839
240,15278,0,3.5,476017.1637,7477124.839
241,15279,0,1,477816.4522,7479413.92
242,15279,0,2,477816.4522,7479413.92
243,15279,0,3,477816.4522,7479413.92
244,15279,0,4,477816.4522,7479413.92
245,15279,0,5,477816.4522,7479413.92
246,15279,0,5.5,477816.4522,7479413.92
247,15280,0,1,479315.849,7479453.9
248,15280,0,1.8,479315.849,7479453.9
249,15281,1,1,479335.8537,7481782.973
250,15281,0,4,479335.8537,7481782.973
251,15281,0,5,479335.8537,7481782.973
252,15281,0,5.6,479335.8537,7481782.973
253,15282,0,1,478746.0962,7482792.574
254,15282,0,2,478746.0962,7482792.574
255,15282,0,3,478746.0962,7482792.574
256,15282,0,4,478746.0962,7482792.574
257,15283,0,1,478326.2674,7483292.379
258,15283,0,2,478326.2674,7483292.379
259,15283,0,3,478326.2674,7483292.379
260,15283,0,4,478326.2674,7483292.379
261,15284,0,1,479415.7793,7477054.859
262,15284,0,2,479415.7793,7477054.859
263,15284,0,3,479415.7793,7477054.859
264,15284,0,4,479415.7793,7477054.859
265,15284,0,5,479415.7793,7477054.859
266,15284,1,6,479415.7793,7477054.859
267,15284,1,7,479415.7793,7477054.859
268,15284,1,7.6,479415.7793,7477054.859
269,15285,0,1,477946.3797,7477764.579
270,15285,0,2,477946.3797,7477764.579
271,15285,0,3,477946.3797,7477764.579
272,15285,0,4,477946.3797,7477764.579
273,15285,0,5,477946.3797,7477764.579
274,15285,0,6,477946.3797,7477764.579
275,15285,0,6.6,477946.3797,7477764.579
276,15286,0,1,475757.2775,7478814.164
277,15286,0,2,475757.2775,7478814.164
278,15286,0,3,475757.2775,7478814.164
279,15286,0,4,475757.2775,7478814.164
280,15286,0,4.6,475757.2775,7478814.164
281,15287,0,1,473928.0148,7479034.082
282,15287,0,2,473928.0148,7479034.082
283,15287,0,3,473928.0148,7479034.082
284,15287,0,3.4,473928.0148,7479034.082
285,15288,0,1,472798.4746,7479983.704
286,15288,0,2,472798.4746,7479983.704
287,15288,0,2.9,472798.4746,7479983.704
288,15289,1,1,472278.6743,7478174.427
289,15289,1,2,472278.6743,7478174.427
290,15289,1,3,472278.6743,7478174.427
291,15289,1,4,472278.6743,7478174.427
292,15289,0,5,472278.6743,7478174.427
293,15290,0,1,470389.4284,7476874.95
294,15290,0,2,470389.4284,7476874.95
295,15290,0,3,470389.4284,7476874.95
296,15290,0,3.4,470389.4284,7476874.95
297,15501,0,0.5,473538.1721,7479104.054
298,15501,0,1.6,473538.1721,7479104.054
299,15501,1,2.3,473538.1721,7479104.054
300,15501,0,3,473538.1721,7479104.054
301,15502,0,0.8,473068.36,7478864.15
302,15502,0,1.8,473068.36,7478864.15
